RESULT
[0.9583835596557637, 0.0014439868615828784, 0.0364312734377991, 0.12741997767186844, 0.0033672234603624625, 0.02085648769345911]	[1, 0, 0, 0, 0, 0]
[0.6687423991403307, 0.00015374739782325272, 0.09599665199877233, 0.31581634681294163, 0.05506789001080285, 0.03299504719900332]	[1, 0, 0, 0, 0, 0]
[0.008642363545271363, 0.010397249136867714, 0.5053930086531855, 0.18537717247974062, 0.015052592611873333, 0.06934177201470096]	[1, 0, 0, 0, 0, 0]
[0.09501323425146095, 0.011569715141771741, 0.6210105363819297, 0.12014116491904801, 0.0014518002068673276, 0.053078874098421255]	[1, 0, 0, 0, 0, 0]
[0.20065496328269744, 0.014644357635327584, 0.7284404008543318, 0.09405027198403454, 0.00041012263655290063, 0.04934284189255234]	[1, 0, 0, 0, 0, 0]
[0.06277994062437926, 0.015340744090156552, 0.016643373830616086, 0.15671986030620172, 0.06728548588072002, 0.03801238193353637]	[0, 0, 0, 0, 1, 0]
[0.004663189558587121, 0.0367874936462301, 0.015146734828142052, 0.17852281707808607, 0.2135225866379267, 0.05114521817327452]	[0, 0, 0, 0, 1, 0]
[0.044923879934787574, 0.029244656970535753, 0.01896895790694593, 0.134154357049115, 0.0461987795889049, 0.03943757236752726]	[0, 0, 0, 0, 1, 0]
[0.015112562173656497, 0.053337088453182295, 0.011248434974106976, 0.13566877411885583, 0.09365619679410139, 0.042610602324324225]	[0, 0, 0, 0, 1, 0]
[0.015265667685920062, 0.013568274654590574, 0.018113849036310265, 0.19987438287540937, 0.18281095753838986, 0.04608250837605695]	[0, 0, 0, 0, 1, 0]
[0.015391313206377369, 0.011388966339200902, 0.035105439748078136, 0.20187322661956944, 0.12782349339705346, 0.04895247296446871]	[0, 0, 0, 0, 1, 0]
[0.0071405402079138805, 0.18293261604321445, 0.002369612073363597, 0.10952251726694254, 0.1745442380704933, 0.03951024026495255]	[0, 0, 0, 1, 0, 0]
[0.00891623449624585, 0.003967697226777026, 0.01389912777065826, 0.30341187257654717, 0.5435129731631368, 0.04987753634123162]	[0, 0, 0, 1, 0, 0]
[0.01961217107128283, 0.16960552976495896, 0.0019232179575358191, 0.09726643918152855, 0.11196332725731355, 0.034252043519308724]	[0, 0, 0, 1, 0, 0]
[0.2658909970076928, 0.008087893985362157, 0.7761774246123362, 0.10575944673484021, 0.0004160407443704751, 0.048986159826140276]	[0, 0, 1, 0, 0, 0]
[0.14655988438418738, 0.040124154199041015, 0.7369733898958941, 0.07114654573758146, 0.00022101526012927066, 0.05042997287291907]	[0, 0, 1, 0, 0, 0]
[0.1844986430577592, 0.016728886088371208, 0.7911871252597601, 0.08948703959523367, 0.0002970038230842267, 0.05124007335830776]	[0, 0, 1, 0, 0, 0]
[0.047127455364510025, 0.7777424341973862, 0.001149302130786919, 0.03355781750317174, 0.008979250917842433, 0.027006439385672484]	[0, 1, 0, 0, 0, 0]
[0.05137915096885574, 0.8242545643509764, 0.0008087179716611888, 0.030618560144886568, 0.00879449278408413, 0.02569688744079331]	[0, 1, 0, 0, 0, 0]
[0.14743817240007248, 0.6437705629579019, 0.0004955921580382068, 0.036093520515358975, 0.012261932006534488, 0.021860578112518302]	[0, 1, 0, 0, 0, 0]
[0.8423886063234663, 0.33547548519771464, 0.0011492098518698377, 0.029415199873439234, 0.0013631433938778577, 0.015747122294532675]	[1, 0, 0, 0, 0, 0]
[0.9713171519966604, 0.0057738031927064585, 0.04048952525028909, 0.07626514276037345, 0.0007188158114698308, 0.01926728382541026]	[1, 0, 0, 0, 0, 0]
[0.7804107598442376, 0.08952306713816678, 0.029015563109498065, 0.04400719184117011, 0.0004856065082589857, 0.022976027870821085]	[1, 0, 0, 0, 0, 0]
[0.9252084377200117, 0.059567625296547536, 0.022147076953377046, 0.042225852035084804, 0.0003466946919560932, 0.019393585662838924]	[1, 0, 0, 0, 0, 0]
[0.8270041334966046, 0.1296317853219449, 0.019376853448240403, 0.037386268033637135, 0.0003872045837233497, 0.021108548339244373]	[1, 0, 0, 0, 0, 0]
[0.7708135746685261, 0.14181212299616217, 0.0043104740954621225, 0.0425520649149172, 0.0016335964679970619, 0.01932493324133651]	[1, 0, 0, 0, 0, 0]
[0.0007540198383376123, 0.9292860980451422, 0.00039971821739706256, 0.046621491226278025, 0.1427449207779718, 0.040204143787512796]	[0, 0, 0, 0, 1, 0]
[0.002614553342422938, 0.7264017587248931, 0.00014055503631877, 0.06960019456023255, 0.3737105558619088, 0.032956799229485384]	[0, 0, 0, 0, 1, 0]
[0.0008079036611391781, 0.5948423937263927, 0.00021929952132378712, 0.09910126584585491, 0.620900717251469, 0.0402955697928172]	[0, 0, 0, 0, 1, 0]
[0.0016724073843258917, 0.17617299603384387, 0.00010517036758207318, 0.16836664958964204, 0.8978706277681732, 0.03650922384242345]	[0, 0, 0, 0, 1, 0]
[0.002119841664187533, 0.3935894065864476, 6.430589642459078e-05, 0.11938152171321102, 0.8136497059546695, 0.03295467005493941]	[0, 0, 0, 0, 1, 0]
