RESULT
[0.14693885797283848, 0.007160017017348816, 0.9757148368467399, 0.0008365058499615195, 0.00017196332457909878, 0.04710361779469886]	[0, 0, 1, 0, 0, 0]
[0.025985680042009813, 0.018339173878468937, 0.9769890374572945, 0.002797719524022851, 0.00015218068037498768, 0.030270558142130692]	[0, 0, 1, 0, 0, 0]
[0.13515982821276532, 0.003208890613973592, 0.0013464131020593222, 0.8267786390686045, 0.06027769815361206, 0.00020978147435339424]	[0, 0, 0, 1, 0, 0]
[0.00037338342849402626, 0.004091276181804249, 0.004042350980528377, 0.9760935929440944, 0.2654036142398588, 0.0001338116516412942]	[0, 0, 0, 1, 0, 0]
[0.0004886421656937291, 0.0005112535574136436, 0.018553205294486362, 0.5460776142823134, 0.7454565767493421, 0.001116517140472926]	[0, 0, 0, 0, 1, 0]
[3.1572662522402454e-05, 0.02019233045062147, 0.001140032181171971, 0.0017997330222929507, 0.9971624331287674, 0.03579010933419555]	[0, 0, 0, 0, 1, 0]
[0.00011888042480984052, 0.00908079968711486, 0.0003548803606121283, 0.0019735763904711796, 0.9987923496020642, 0.02707088541910851]	[0, 0, 0, 0, 1, 0]
[0.021053939557925477, 0.020478441390142182, 3.237972074044838e-05, 0.06270934529689011, 0.9136914113659778, 0.0014992875396827204]	[0, 0, 0, 0, 1, 0]
[0.0018429016733086823, 0.047626642673837184, 0.4645754872218793, 4.808246220902299e-06, 0.4087373459275951, 0.5316888313859032]	[0, 0, 0, 0, 0, 1]
[0.007287413570490301, 0.009933320313482074, 0.5257166856968737, 2.0397177485964857e-05, 0.24083091566599363, 0.28785639365103804]	[0, 0, 0, 0, 1, 0]
[0.04081433508601177, 0.0045497322780415055, 0.8710033672475085, 9.267139849841657e-06, 0.047364710280638864, 0.38918875509134093]	[0, 0, 1, 0, 0, 0]
[0.021535849976637926, 0.23275193869027178, 0.7086345365675881, 8.202777522240413e-05, 0.0009993523490086059, 0.11646847247256774]	[0, 0, 1, 0, 0, 0]
[0.3533099179390936, 0.14925172200184858, 0.1035623948154206, 0.014618356256091465, 0.00024839897295664916, 0.004305575080086178]	[0, 1, 0, 0, 0, 0]
[0.9408754308005011, 0.08458856404862516, 0.03898977151454069, 0.009266218095188874, 0.00022333247749557143, 0.004874645862799017]	[1, 0, 0, 0, 0, 0]
[0.5074795107181092, 0.32912617421215856, 0.027179603333696165, 0.025953698809673856, 0.00018987382925733513, 0.0025874898436393425]	[1, 0, 0, 0, 0, 0]
[0.9650796358918698, 0.015379994832230315, 0.05396426755011539, 0.005238566709667853, 0.0009262535965179613, 0.008050164647722855]	[1, 0, 0, 0, 0, 0]
[0.9900361203139911, 0.054922750402954634, 0.031916833438439096, 0.02465536660934149, 8.735881018413282e-05, 0.0028073422302271633]	[1, 0, 0, 0, 0, 0]
[0.9836686938243431, 0.03593543360059215, 0.020641734952451647, 0.018253088834675007, 0.00029671819511481353, 0.0032862901591955945]	[1, 0, 0, 0, 0, 0]
[0.013784217781592998, 0.9515052481723666, 0.0022525923994625233, 0.00046921391635438724, 0.014769502804036955, 0.027603288590944342]	[0, 1, 0, 0, 0, 0]
[0.0018449654741443783, 0.979455454530834, 0.005006048366840205, 0.0025373553274824568, 0.0035777664237049474, 0.01133303830282426]	[0, 1, 0, 0, 0, 0]
[0.0020781165544623147, 0.9931143738670133, 0.0007953942763421327, 0.029444873734142733, 0.0017518642648895225, 0.002352934750969803]	[0, 1, 0, 0, 0, 0]
[0.014289758140778683, 0.0889730079024767, 0.9754571816403718, 0.01311296541377566, 1.4674602313982153e-05, 0.008284391878532558]	[0, 0, 1, 0, 0, 0]
[0.357727592936503, 0.001468845927050186, 0.9621647886423847, 0.002068890387628874, 0.0005178190137769306, 0.0371054091852594]	[0, 0, 1, 0, 0, 0]
[0.004339401994464625, 0.02581330730629425, 0.9967843559408488, 0.005736127382342271, 2.4328824153176922e-05, 0.02020600580027774]	[0, 0, 1, 0, 0, 0]
[0.0005544309958965575, 0.0006651864491593881, 0.10140377835377222, 0.8939563347964723, 0.17998714168060193, 0.000629698459809734]	[0, 0, 0, 1, 0, 0]
[0.024239769895431452, 0.0023749989265753244, 0.029029051625401463, 0.956498231975437, 0.009773267524155598, 0.00020134711615009537]	[0, 0, 0, 1, 0, 0]
[0.008263409326410563, 0.004554777473656905, 0.08821100383466061, 0.901056745529136, 0.007964534673509079, 0.00041825449029181193]	[0, 0, 0, 1, 0, 0]
